110001|北京城投公司|202|11990012|110000|A0000
120001|天津城投公司|202|12990002|120000|B0000
210001|辽宁城投公司|201|21990001|210000|C0000
220001|吉林城投公司|201|22990001|220000|D0000
310001|上海城投公司|201|31990001|310000|E0000
320001|江苏城投公司|201|32990001|320000|F0000
410001|河南城投公司|201|41990001|410000|G0000
420001|湖北城投公司|201|42990001|420000|H0000
510001|四川城投公司|201|51990001|510000|I0000
520001|贵州城投公司|201|52990001|520000|J0000
610001|陕西城投公司|201|61990001|610000|K0000
620001|甘肃城投公司|201|62990001|620000|L0000
310002|上海高速公司|201|31990002|310000|K0000
510002|四川高速公司|201|51990002|510000|B0000
510103|成都商业公司|201|51010003|510000|B0000
370001|山东城投公司|202|37990001|370000|M0000
370102|济南城投公司|202|37990002|370000|M0000
